,time,hj,ae,rt,sl,ram,cs_raw,cs_lemma,cs_all,cs_in,cs_out,tpw,disk,compression,ie_rel
ft_dimred_10.bin,6.29372968402864e-05,0.30696168985794087,0.5695039638242503,0.46807118716115004,0.07261038275519037,83.16320896148682,0.5555984090150473,0.5439987334895782,0.5967955775730931,0.6072474612492873,0.5753441899501885,0.00010283919489161475,71.56397438049316,decomposition,0.5039247514365311
ft_dimred_100.bin,0.000612625025187597,0.6121015522795544,0.8187484160015908,0.7147477372283781,0.26418050876296895,455.0153970718384,0.8280237476256468,0.8141352807611167,0.8690997290377598,0.870879646284107,0.8654466368324715,0.0006442841668608012,625.2677173614502,decomposition,0.9232943035735187
ft_dimred_150.bin,0.0006887574645077856,0.632550196620533,0.8261066018168659,0.7208731171797242,0.2946890004912581,661.5999460220337,0.8857159431423508,0.875845223721616,0.9176092506240499,0.9195887400831447,0.9135465575250812,0.0007634365586961268,932.8301181793213,decomposition,0.9582833351560578
ft_dimred_25.bin,0.00011943686848123456,0.4919338717049091,0.7219175668364104,0.6247177623382063,0.15685999347120264,145.1385736465454,0.661141948011935,0.6412096429570978,0.7083155702731989,0.7111488390662941,0.7025005852424151,4.9306092655406675e-05,163.86370944976807,decomposition,0.7369876680302057
ft_dimred_5.bin,4.234818960032564e-05,0.17202944750182433,0.3957073254738903,0.25370789865296395,0.026472794488922192,62.504754066467285,0.4643319285339104,0.4828836490002364,0.505449847988457,0.5323523676077737,0.4502352671276705,4.418006635914305e-05,40.82416820526123,decomposition,0.29188517144286014
ft_dimred_50.bin,0.0005770771878988323,0.5719760291162213,0.7807866041781604,0.6819903544703196,0.20971787218661594,248.43084812164307,0.7411165884004106,0.7220042814291087,0.7885505892937337,0.7899785323392472,0.7856198869704283,0.0006190259838736611,317.6673583984375,decomposition,0.8444158769628652
ft_fp16.bin,3.393740375394235e-05,0.6667814153806477,0.8251745116846374,0.7227250701107748,0.33172977295288514,1280.6667785644531,0.9999999888296502,0.999999986953839,0.9999999860464717,0.9999999867374675,0.9999999846282756,4.9192192825017664e-05,1248.9989290237427,original fp16,0.9993695291768051
ft_fp16_ngrams.bin,0.00010636417167469808,0.6432724627414791,0.7838749294829432,0.7127218565722828,0.2873637075862305,1144.4109191894531,0.9878004683999813,0.9623237116376319,0.9940944520297091,0.9912170652213944,0.9999999846282756,0.00012716043134155045,1144.409912109375,original fp16 w/o words,0.941181752221218
ft_fp16_words.bin,5.0289541702910026e-05,0.61417516346403,0.7067111821077754,0.4131788249049759,0.3289311300727429,136.25807666778564,0.34940711110255024,0.9634703073729366,0.6723883308797505,0.9999999867374675,0.0,4.3798528027209355e-05,104.59061336517334,original fp16_w/o ngrams,0.8346431867259461
ft_freqprune_100K_0K_pq_100.bin,0.0003486045561549095,0.6088749135642615,0.7083694148382533,0.6805991959308986,0.26705763645081715,20.463250160217285,0.9408156343622084,0.8976256314273486,0.9500672668399526,0.9468386854953739,0.9566935891412983,0.00031957424404354756,16.029263496398926,prune by freq + pq,0.8790388683813867
ft_freqprune_100K_0K_pq_300.bin,0.0003706962492861796,0.6133264182303436,0.7209251127718097,0.6832399663798232,0.2683676068851639,39.53752613067627,0.9637319243051853,0.9211860750799816,0.9720515414705554,0.9682544997952416,0.9798445685765683,0.0004166342686252601,44.590389251708984,prune by freq + pq,0.8864062798118447
ft_freqprune_100K_0K_pq_50.bin,0.0002750972267923077,0.5450924827141478,0.6541750314358494,0.6442095142853281,0.2568156183443532,15.694687843322754,0.8705562496100325,0.8268200618362618,0.882441200462527,0.880755501504147,0.8859009195803446,0.0004764961417828277,8.8849515914917,prune by freq + pq,0.8184437022907471
ft_freqprune_100K_100K_pq_100.bin,0.00013985654431709015,0.6614495115348573,0.8130582276705605,0.7151071761596512,0.32590217969614443,58.289422035217285,0.9709781093814974,0.972052078580602,0.9711398155269308,0.9781048979193859,0.9568447193648555,0.00012223316077131303,37.33636665344238,prune by freq + pq,0.98668050902464
ft_freqprune_100K_100K_pq_300.bin,0.00022014249896848065,0.6659079664702289,0.8216982593438709,0.7211449779729575,0.3311450668106803,96.43797397613525,0.9930019770199036,0.9933453190718455,0.9919561313515785,0.9978465916046593,0.9798665836603853,0.0002448053006816832,94.47303199768066,prune by freq + pq,0.9970033458853925
ft_freqprune_100K_100K_pq_50.bin,0.00017531859208060104,0.610481663489292,0.7630067629796882,0.6851914319446788,0.2845444367478029,48.75229740142822,0.8997802484254467,0.893632446420125,0.8978828893102472,0.9038234189058469,0.885690579580395,0.00017380144693638795,23.03032875061035,prune by freq + pq,0.9109373920905232
ft_freqprune_100K_20K_pq_100.bin,0.0004273697564229938,0.6434756391067323,0.7941962742138151,0.6986646878804668,0.3228528639335229,28.393406867980957,0.9666984405828691,0.9691338860611208,0.9615299586447199,0.9638957046495806,0.9566745147706934,0.0007161303782334811,20.972652435302734,prune by freq + pq,0.966255316546677
ft_freqprune_100K_20K_pq_300.bin,0.000623716885077406,0.6526131486205363,0.8031256976805605,0.7057994102604019,0.32934927382093704,51.283169746398926,0.9887781183869356,0.9889942690233757,0.9828522699977179,0.9842985621993476,0.9798839079689856,0.0005218622041079691,55.293861389160156,prune by freq + pq,0.979742229196356
ft_freqprune_100K_20K_pq_50.bin,0.00026080143641101156,0.5979885068370844,0.7552304681622422,0.6697776796497015,0.30148238171265984,22.670979499816895,0.8972176446554315,0.8953888551641024,0.8924692003284133,0.8958022796401772,0.8856284069834413,0.0002443053643932841,12.432458877563477,prune by freq + pq,0.9113333325809823
ft_freqprune_100K_5K_pq_100.bin,0.0004025624747809042,0.628626055537927,0.7649215424227509,0.6798374942894316,0.296264038511505,22.878911018371582,0.9611588441965574,0.9561681458422644,0.9549354165224565,0.9539150125135747,0.9570296880054379,0.0004458189100105384,17.899714469909668,prune by freq + pq,0.9252909539856216
ft_freqprune_100K_5K_pq_300.bin,0.00044347712532176133,0.6403516358749181,0.7738145699890948,0.6874535454140034,0.304945671480976,42.9076509475708,0.9827726746545649,0.9753433801243862,0.9762338447247537,0.9744698722860137,0.9798542118960532,0.0003028120488081261,47.86933994293213,prune by freq + pq,0.9415490595043325
ft_freqprune_100K_5K_pq_50.bin,0.00026865290056312394,0.5962224719734088,0.7239228921780327,0.6619100388239678,0.2603329982227302,17.871739387512207,0.8932935876633747,0.8897975360300013,0.8879140982983944,0.8886487099186459,0.8864063855160375,0.00031120981156535193,10.400717735290527,prune by freq + pq,0.8674761556645855
ft_freqprune_400K_0K_pq_100.bin,0.0005415272656033517,0.6343368918737401,0.7593440926124755,0.7015904821694245,0.28994153978176274,59.87764835357666,0.9493267279906612,0.9186118776014118,0.9585175591878103,0.9573999688099236,0.96081129543119,0.0003023487149766788,51.267497062683105,prune by freq + pq,0.9285029178959445
ft_freqprune_400K_0K_pq_300.bin,0.00035719845868552953,0.6437197554143752,0.7796574435608328,0.7120592287963938,0.2862972528443196,123.07423877716064,0.9838763765210388,0.9549831168304973,0.9902630461020084,0.9883209621223433,0.9942489684041206,0.00033873262802710093,145.77631187438965,prune by freq + pq,0.9390403945254051
ft_freqprune_400K_0K_pq_50.bin,0.00029582412642888546,0.5852910313096035,0.6965682660593582,0.661296202074882,0.27096248290843733,44.07850742340088,0.8716478465194974,0.8386884667032242,0.8844936532752429,0.8847742253698223,0.8839178086769429,0.00046844307925604793,27.70841121673584,prune by freq + pq,0.8628985363139782
ft_freqprune_400K_100K_pq_100.bin,0.00013239375047267312,0.6545753143710076,0.816800791477678,0.7165760844288354,0.319518812061217,97.70382022857666,0.9679139304439922,0.9741825448049999,0.972694174181628,0.9786125885687439,0.9605472535820266,0.00014635753560003585,72.54687595367432,prune by freq + pq,0.9809371551655893
ft_freqprune_400K_100K_pq_300.bin,0.00014798065218000198,0.6673453392847694,0.8250324789025836,0.7225704481877027,0.33184955392880083,179.97468662261963,0.9970882690516533,0.9959132050126267,0.9977251450526405,0.9993973533254312,0.9942931141425027,0.0001413096001132415,195.90285873413086,prune by freq + pq,0.9995745500932202
ft_freqprune_400K_100K_pq_50.bin,0.0001314047175445232,0.6345485418549764,0.7732384495168889,0.6860307078086176,0.310509232337279,77.13611698150635,0.8923210864818749,0.8953075771624917,0.8973129187777912,0.9038040798066507,0.883990496172772,0.00020774702367802876,41.782636642456055,prune by freq + pq,0.9429000990845295
ft_freqprune_400K_20K_pq_100.bin,0.00035001226081786104,0.6518813709526182,0.8132464211067818,0.7115322681561853,0.32773901945912315,67.80780506134033,0.9660800231155231,0.9730633644574049,0.9669284603354242,0.9699307082456764,0.9607666635093111,0.00036418244073019,56.19179725646973,prune by freq + pq,0.9833006012401281
ft_freqprune_400K_20K_pq_300.bin,0.00034646944067258346,0.6631099594308357,0.8203036749650798,0.7189056804514187,0.33084716047046864,134.8198823928833,0.9961018074515774,0.9948043875296841,0.9957715352938902,0.9964498702422906,0.9943793244382099,0.0005341262195758493,156.571120262146,prune by freq + pq,0.9945342546437994
ft_freqprune_400K_20K_pq_50.bin,0.0003065184241583242,0.616348166815353,0.7788425304737991,0.6870491766163211,0.30697448805759836,51.05479907989502,0.8899301277938396,0.8976928284835717,0.8924295921366019,0.8971339720226492,0.8827743491596021,0.00022811356912815986,31.11268138885498,prune by freq + pq,0.9354675506116754
ft_freqprune_400K_5K_pq_100.bin,0.00030230771282744413,0.6561668308291027,0.8031470025978682,0.7014506028587681,0.3083973404576506,62.29330921173096,0.9630034559855988,0.9649152725844391,0.9621509284587973,0.9628886180161923,0.9606368985354551,0.00033563135503365403,53.12630653381348,prune by freq + pq,0.9637915579961372
ft_freqprune_400K_5K_pq_300.bin,0.0016046581586878098,0.659877322537937,0.8106223654583378,0.7106535909054927,0.3207954628809085,126.44436359405518,0.9939046107003096,0.9888806229698367,0.9930158063551018,0.99238717273349,0.9943060104855492,0.0006149207458438823,149.29120635986328,prune by freq + pq,0.9799669073114585
ft_freqprune_400K_5K_pq_50.bin,0.00033605669938651457,0.6208066217507244,0.7703152373212439,0.668857319417477,0.30249888040774325,46.25555896759033,0.8878738034637291,0.894325253332242,0.8879437313525896,0.8906076409758739,0.8824763381350768,0.0004350476340717806,29.15640640258789,prune by freq + pq,0.9248934310255432
ft_freqprune_50K_0K_pq_100.bin,0.0003834641592740923,0.5460357199449654,0.6082549452929669,0.6175476752392031,0.25670218873214506,10.524811744689941,0.917583492562146,0.8678051456208341,0.9201530087838923,0.9144893795992001,0.9317770096584851,0.00025592543493294974,8.41772747039795,prune by freq + pq,0.7955935914692207
ft_freqprune_50K_0K_pq_300.bin,0.0002833509540641381,0.5631473781445363,0.6241750447514227,0.6219073640928583,0.2579731760855652,20.062344551086426,0.9376655488177693,0.8884481263317616,0.9399282131840826,0.9338567611749136,0.9523892273435868,0.0002830673454253169,22.705467224121094,prune by freq + pq,0.8092867698577317
ft_freqprune_50K_0K_pq_50.bin,0.00024150315116138761,0.5108566939139524,0.5586997076343951,0.5833876382141852,0.22512318834210224,8.140435218811035,0.850726514588705,0.800707123802891,0.8550983117681251,0.8508063495812986,0.8639071109649787,0.0003049703916828638,4.852679252624512,prune by freq + pq,0.7318139929718024
ft_freqprune_50K_100K_pq_100.bin,9.973028582207001e-05,0.6582697157303913,0.8107590720110642,0.711556312655006,0.32531702608667523,48.35098361968994,0.9577891278006889,0.9707159316375515,0.9613009449257097,0.9755444426856523,0.9320676697553767,0.0001042270666366075,29.74936580657959,prune by freq + pq,0.9831246288155586
ft_freqprune_50K_100K_pq_300.bin,0.0001359065781393711,0.6673821852329197,0.8178607111137546,0.7180269154470813,0.33093332129401415,76.96279239654541,0.9780324664128633,0.9919723635170336,0.981061360925934,0.9950556689467259,0.9523395213830699,0.00010893337123760604,72.61816120147705,prune by freq + pq,0.9951562948268446
ft_freqprune_50K_100K_pq_50.bin,8.95850488096457e-05,0.6100180900486085,0.7662051636905622,0.6749896319068043,0.27965373976340013,41.198044776916504,0.8886339319730191,0.8923564334327981,0.8891645914657089,0.9015452045283714,0.8637546904331068,0.00010021858007726213,19.018210411071777,prune by freq + pq,0.9045187612342581
ft_freqprune_50K_20K_pq_100.bin,0.00020375375259687676,0.6394759019444587,0.7829641442680231,0.6836013358912936,0.32316302553388543,18.454968452453613,0.9518852623015581,0.9646522193092366,0.940942952060328,0.9452876339599178,0.9320259512197435,0.0005043298777868165,13.388100624084473,prune by freq + pq,0.9563816489374638
ft_freqprune_50K_20K_pq_300.bin,0.00025365994836546433,0.6444739072368549,0.7903720415570166,0.6878807301594712,0.3284215272523628,31.807988166809082,0.9714674233978345,0.9840589324623326,0.9602580145458732,0.9641026373433372,0.9523673322107739,0.00022847770555854872,33.39589214324951,prune by freq + pq,0.9659373141945901
ft_freqprune_50K_20K_pq_50.bin,0.00019294333281959087,0.6136189960046752,0.7457737479921225,0.66012662148992,0.29465702995701176,15.116726875305176,0.8841984155050612,0.8915998024886074,0.8737116545674113,0.8784303048838779,0.8640271230388012,0.00019037745614292235,8.400229454040527,prune by freq + pq,0.9058467612185908
ft_freqprune_50K_5K_pq_100.bin,0.00024988830842736755,0.6175377101646853,0.7130263146798426,0.6407404371781305,0.29319673055768664,12.940472602844238,0.94317381361519,0.9433863013643111,0.9272777894591482,0.9250118665528866,0.9319283569636972,0.0002600929576912437,10.32487678527832,prune by freq + pq,0.889599365147717
ft_freqprune_50K_5K_pq_300.bin,0.00026897209152685573,0.6259924747322699,0.7185123308866708,0.6440755144689088,0.2981816360977775,23.432469367980957,0.9623454885435481,0.9616154573866853,0.946655880569841,0.9438791901626246,0.952354744437764,0.00032619160495024515,26.04209041595459,prune by freq + pq,0.899335594399596
ft_freqprune_50K_5K_pq_50.bin,0.0003302053204320122,0.5964309800520895,0.6685709416018901,0.6151026831730104,0.27543245380648457,10.317486763000488,0.8771839595805414,0.8775732211044343,0.8626230876312218,0.8618263120588832,0.8642583853612981,0.0003302810309333854,6.4050703048706055,prune by freq + pq,0.8459895107587049
ft_pq_10.bin,0.0001322355882464967,0.4101933731486162,0.6079788690728498,0.5258500300731743,0.13094571493228827,63.66127872467041,0.6070411489045363,0.6307523522231312,0.6458675080961336,0.6697315514286399,0.5968890789789633,7.348291778182649e-05,42.90302848815918,pq,0.6181695015449038
ft_pq_100.bin,9.14902289161601e-05,0.6513766671512088,0.8117728309929733,0.7119034660759325,0.31912074651856276,249.48506259918213,0.9377616373262901,0.9740834688360226,0.9581509885673719,0.9788839749575544,0.9155987232135958,9.00931312401632e-05,321.24564838409424,pq,0.9763013756237692
ft_pq_150.bin,9.990356210980415e-05,0.6658648367169675,0.8228726929104782,0.7215771646762092,0.33013522669563516,352.720498085022,0.9686613810431777,0.9921764745411018,0.9818937448810605,0.9947139068496261,0.955581716131401,0.00010161141228887624,476.1921081542969,pq,0.9967313144846065
ft_pq_25.bin,7.83866865381675e-05,0.5362332695994234,0.6876486073463797,0.6156356110611012,0.22527208140466506,94.63190937042236,0.7235058377853482,0.7666631905169022,0.7577110508035423,0.7869803565160778,0.6976388913971987,7.615022004269605e-05,89.30344295501709,pq,0.7916087721232665
ft_pq_300.bin,0.0001024014299837263,0.6670758021291779,0.8251709608650861,0.7228208093378303,0.3315392854705842,662.4268579483032,0.9908494080607485,0.9989115693014268,0.9957911547089789,0.9996220616587821,0.9879286227029366,0.00014145274372881142,940.558798789978,pq,0.9993683399442256
ft_pq_5.bin,0.0001003574254171848,0.3184442011881409,0.5676229171669254,0.4625513951162288,0.11144543216075457,53.337735176086426,0.5468143836248524,0.5695821046239186,0.5947015537757104,0.6213953448732688,0.5399153661660268,7.201320281184452e-05,27.228975296020508,pq,0.5350042288479966
ft_pq_50.bin,8.259822113350189e-05,0.6182995739298011,0.7802788369823181,0.6810558659011974,0.2917806836672222,146.24962711334229,0.8425019267889807,0.8918738169166802,0.8716045472360885,0.9012070470498139,0.8108485421192753,8.306755346066511e-05,166.6644687652588,pq,0.9231140109069119
ft_prune_freq_0.001.bin,0.00015375897536271208,0.042261048802232595,-0.0004891253931976758,0.3150848165308211,0.08493198399113629,0.4453706741333008,0.3598538783487067,0.422390385857339,0.43877888509518004,0.4499980760623284,0.4157526802781624,8.944623926382973e-05,0.577117919921875,prune by freq,0.18864418175478398
ft_prune_freq_0.002.bin,9.026426286433704e-05,0.08342579727712093,0.006788723129727892,0.3263389582834968,0.11696521864808403,0.8922586441040039,0.4601567135959983,0.5197320941379743,0.5129525003939945,0.5176422378269903,0.5033273095057748,8.973002985602668e-05,1.1558895111083984,prune by freq,0.23429165223574258
ft_prune_freq_0.005.bin,9.863055365323931e-05,0.16362043851304478,0.09468215948417269,0.3663172813780271,0.12950811459828665,2.280522346496582,0.5787352625177898,0.6388967309820253,0.6093979278547531,0.6070626965335167,0.6141907435627085,9.052325410626938e-05,2.89202880859375,prune by freq,0.3142075213506087
ft_prune_freq_0.01.bin,9.142433494855179e-05,0.30049674078804617,0.21918720852764828,0.40512409330739807,0.14969506762910462,4.568181037902832,0.6640905793794002,0.7513198456887358,0.6846097367844847,0.6798588812617264,0.6943603660984355,0.0001275511150677482,5.787064552307129,prune by freq,0.43178928065224825
ft_prune_freq_0.02.bin,0.0001305586164501452,0.4419788477102606,0.43913651170150403,0.4778935404366167,0.19081796328182793,9.14287281036377,0.7686291019324178,0.8456555481923099,0.7664926424314276,0.7623600817597227,0.7749742868498226,9.2308365864672e-05,11.57544231414795,prune by freq,0.6074988486854256
ft_prune_freq_0.05.bin,8.919671258027959e-05,0.5766625100097847,0.6876015589873239,0.588766410151061,0.28891787493183363,22.656609535217285,0.887248234496431,0.9376587304767025,0.8713796946318185,0.8720232317571748,0.8700589026336083,9.14285586531434e-05,28.93818950653076,prune by freq,0.8453938467965342
ft_prune_freq_0.1.bin,7.812195034210843e-05,0.6276687273501941,0.7728878060861935,0.6679845216610221,0.3237340471921398,45.4446496963501,0.9516115230026647,0.976750142814477,0.9360159848775879,0.9405492161292677,0.9267120064009104,0.00010841709195665226,57.8727912902832,prune by freq,0.9439381974130947
ft_prune_freq_0.2.bin,8.755756322335022e-05,0.66334131770992,0.8090635556752972,0.7100390521272448,0.33169197198697037,91.021409034729,0.9847955894433813,0.9913084904569377,0.9773692939250267,0.9826785132862226,0.9664726817907519,6.361314028326268e-05,115.72986125946045,prune by freq,0.9887891526837088
ft_prune_freq_0.5.bin,4.01587326983315e-05,0.6668448246867671,0.8220542290038932,0.7213002141715465,0.3318236943280902,224.45311450958252,0.9979065384066746,0.9953271796102091,0.9960120485990862,0.9988133131574755,0.9902627488806839,4.250568665268573e-05,242.12188148498535,prune by freq,0.9980269536292353
ft_prune_freq_1.0.bin,3.0653228840898934e-05,0.6671817699335485,0.8250821903763028,0.7227399882304812,0.33173090831758584,447.9432077407837,0.9996614169529706,0.9965738439367465,0.9990301714531727,0.9999999999104886,0.9970397009494695,3.0292284051691593e-05,484.45276260375977,prune by freq,0.999497577512614
ft_trim_0.001.bin,7.757837507194711e-05,-0.011410437989761033,-0.002333332297677515,0.326087982857852,0.15157284049057418,1.2841386795043945,0.5010082688754903,0.51377072410446,0.5380561992814703,0.5350215891267359,0.5442844161972287,0.00010297080385629785,1.8596105575561523,prune hash,0.22199060279782531
ft_trim_0.002.bin,0.0002425098693610938,0.08678172881111873,0.029635583827969825,0.3445944368752052,0.1476832680274853,2.5676469802856445,0.5701977102790063,0.5958850617331922,0.5885328009131192,0.5875448498050388,0.5905604662439323,7.560658809853245e-05,3.71746826171875,prune hash,0.27191831333840955
ft_trim_0.005.bin,7.330808743329277e-05,0.2503788811090883,0.12321565769389364,0.3888336820955711,0.17733113995547065,6.431332588195801,0.67372357562153,0.7116853131169874,0.6734289521720719,0.6757806542046396,0.6686023320682639,7.432602410260986e-05,9.28905963897705,prune hash,0.3991573129668365
ft_trim_0.01.bin,7.447465614787512e-05,0.36844872286836733,0.30194704751573553,0.4357425687141758,0.2060937947408439,12.862011909484863,0.7623002627105885,0.8188485007387918,0.7492499119512446,0.7554017584158855,0.7366238966607964,7.437334987736309e-05,18.567790985107422,prune hash,0.5353671996661873
ft_trim_0.02.bin,8.20101448401751e-05,0.5027953336299791,0.5407361115241405,0.5236152957411928,0.2408861109852052,25.72348403930664,0.8461803972021885,0.8956516298023386,0.8248377638201917,0.8350294124964156,0.8039204810563111,0.00011641878397462068,25.90768814086914,prune hash,0.7145597616471704
ft_trim_0.05.bin,7.106955681100114e-05,0.6276788195220389,0.7457852881556644,0.646204681165558,0.3144542974197648,64.23728561401367,0.9252878217671912,0.9621443291695445,0.9080710691375994,0.9214292258578434,0.8806548629674016,9.124494681709716e-05,64.77253913879395,prune hash,0.9212162316818102
ft_trim_0.1.bin,8.415939899465102e-05,0.6490733669505487,0.7982113634214985,0.6970136030435774,0.3252567048279927,128.47385025024414,0.9635196557337129,0.9840841184044345,0.9527220792834209,0.9653732933019138,0.9267567983619409,9.061113460392346e-05,129.55668354034424,prune hash,0.9708071635427729
ft_trim_0.2.bin,7.815225005343726e-05,0.6631684178602011,0.8160400283888023,0.7177770808188257,0.3314742825021656,257.0719566345215,0.9835148735313134,0.9938996522737766,0.9786456644210204,0.9884917803547916,0.9584375511259547,5.2742291105325986e-05,259.1337366104126,prune hash,0.9933479685947573
ft_trim_0.5.bin,3.520555614336372e-05,0.6667090564127038,0.8240817469677113,0.7223357071864442,0.3314140013151784,640.8182830810547,0.9961146446867983,0.9955179986398828,0.994968646410038,0.9990219928532931,0.9866495808312445,3.4191297318510935e-05,624.4379997253418,prune hash,0.9986391709022442
ft_trim_1.0.bin,2.580582088841286e-05,0.6671266438250754,0.8250715379176485,0.72273700460654,0.33172977295288514,1280.6667785644531,0.9996610782917139,0.9965862317786963,0.9989848581132923,0.9999999867374675,0.9969014138003899,2.684917435633529e-05,1248.9989290237427,prune hash,0.9994718164230296
original,2.282868782271585e-05,0.666836541489121,0.8251780625041887,0.722727176198263,0.33173090831758584,2723.8586988449097,0.9999999998682989,0.9999999984703485,0.9999999997035213,0.9999999999104886,0.9999999992787422,1.8419077589382714e-05,2679.317279815674,original,0.9993928376261788
